--- Starting Training ---
Episode  155 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03702 | Epsilon: 0.210
Episode  156 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03250 | Epsilon: 0.208
Episode  157 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03028 | Epsilon: 0.206
Episode  158 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03866 | Epsilon: 0.204
Episode  159 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03141 | Epsilon: 0.202
Episode  160 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03534 | Epsilon: 0.200
Episode 160: Target network updated.
Episode  161 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05901 | Epsilon: 0.198
Episode  162 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03930 | Epsilon: 0.196
Episode  163 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03674 | Epsilon: 0.194
Episode  164 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04686 | Epsilon: 0.192
Episode  165 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04306 | Epsilon: 0.190
Episode  166 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03930 | Epsilon: 0.188
Episode  167 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03675 | Epsilon: 0.186
Episode  168 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03804 | Epsilon: 0.185
Episode  169 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04382 | Epsilon: 0.183
Episode  170 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04317 | Epsilon: 0.181
Episode  171 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03741 | Epsilon: 0.179
Episode  172 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03675 | Epsilon: 0.177
Episode  173 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04304 | Epsilon: 0.176
Episode  174 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04185 | Epsilon: 0.174
Episode  175 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03806 | Epsilon: 0.172
Episode  176 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03818 | Epsilon: 0.170
Episode  177 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03877 | Epsilon: 0.169
Episode  178 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04059 | Epsilon: 0.167
Episode  179 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03176 | Epsilon: 0.165
Episode  180 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04946 | Epsilon: 0.164
Episode 180: Target network updated.
Episode  181 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06071 | Epsilon: 0.162
Episode  182 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03511 | Epsilon: 0.160
Episode  183 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04215 | Epsilon: 0.159
Episode  184 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04069 | Epsilon: 0.157
Episode  185 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04981 | Epsilon: 0.156
Episode  186 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04911 | Epsilon: 0.154
Episode  187 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05481 | Epsilon: 0.153
Episode  188 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05688 | Epsilon: 0.151
Episode  189 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04282 | Epsilon: 0.150
Episode  190 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04423 | Epsilon: 0.148
