--- Starting Training ---
Episode  132 | Reward:    22.0 | Duration:   22 | Avg Loss: 0.70135 | Epsilon: 0.152
Episode  133 | Reward:    24.0 | Duration:   24 | Avg Loss: 0.67414 | Epsilon: 0.148
Episode  134 | Reward:    15.0 | Duration:   15 | Avg Loss: 0.74934 | Epsilon: 0.146
Episode  135 | Reward:    18.0 | Duration:   18 | Avg Loss: 0.79254 | Epsilon: 0.144
Episode  136 | Reward:    16.0 | Duration:   16 | Avg Loss: 0.66572 | Epsilon: 0.142
Episode  137 | Reward:    18.0 | Duration:   18 | Avg Loss: 0.74550 | Epsilon: 0.139
Episode  138 | Reward:    22.0 | Duration:   22 | Avg Loss: 0.77485 | Epsilon: 0.137
Episode  139 | Reward:    25.0 | Duration:   25 | Avg Loss: 0.81982 | Epsilon: 0.133
Episode  140 | Reward:    26.0 | Duration:   26 | Avg Loss: 0.74323 | Epsilon: 0.130
Episode 140: Target network updated.
Episode  141 | Reward:    26.0 | Duration:   26 | Avg Loss: 0.90485 | Epsilon: 0.127
Episode  142 | Reward:    19.0 | Duration:   19 | Avg Loss: 0.82159 | Epsilon: 0.125
Episode  143 | Reward:    17.0 | Duration:   17 | Avg Loss: 0.81207 | Epsilon: 0.123
Episode  144 | Reward:    18.0 | Duration:   18 | Avg Loss: 0.79825 | Epsilon: 0.121
Episode  145 | Reward:    26.0 | Duration:   26 | Avg Loss: 0.84363 | Epsilon: 0.118
Episode  146 | Reward:    31.0 | Duration:   31 | Avg Loss: 0.83142 | Epsilon: 0.115
Episode  147 | Reward:    30.0 | Duration:   30 | Avg Loss: 0.81994 | Epsilon: 0.112
Episode  148 | Reward:    30.0 | Duration:   30 | Avg Loss: 0.75377 | Epsilon: 0.109
Episode  149 | Reward:    22.0 | Duration:   22 | Avg Loss: 0.78812 | Epsilon: 0.107
Episode  150 | Reward:    22.0 | Duration:   22 | Avg Loss: 0.81225 | Epsilon: 0.105
Episode 150: Target network updated.
Episode  151 | Reward:    19.0 | Duration:   19 | Avg Loss: 0.92858 | Epsilon: 0.103
Episode  152 | Reward:    21.0 | Duration:   21 | Avg Loss: 0.87711 | Epsilon: 0.101
Episode  153 | Reward:    20.0 | Duration:   20 | Avg Loss: 0.83243 | Epsilon: 0.099
Episode  154 | Reward:    24.0 | Duration:   24 | Avg Loss: 0.90611 | Epsilon: 0.097
Episode  155 | Reward:    15.0 | Duration:   15 | Avg Loss: 0.87418 | Epsilon: 0.096
Episode  156 | Reward:    28.0 | Duration:   28 | Avg Loss: 0.73287 | Epsilon: 0.093
Episode  157 | Reward:    27.0 | Duration:   27 | Avg Loss: 0.77719 | Epsilon: 0.091
Episode  158 | Reward:    22.0 | Duration:   22 | Avg Loss: 0.74915 | Epsilon: 0.089
Episode  159 | Reward:    23.0 | Duration:   23 | Avg Loss: 0.78403 | Epsilon: 0.087
Episode  160 | Reward:    33.0 | Duration:   33 | Avg Loss: 0.88823 | Epsilon: 0.085
Episode 160: Target network updated.
Episode  161 | Reward:    21.0 | Duration:   21 | Avg Loss: 0.92813 | Epsilon: 0.083
Episode  162 | Reward:    34.0 | Duration:   34 | Avg Loss: 0.86353 | Epsilon: 0.081
Episode  163 | Reward:    44.0 | Duration:   44 | Avg Loss: 0.80722 | Epsilon: 0.078
Episode  164 | Reward:    68.0 | Duration:   68 | Avg Loss: 0.81218 | Epsilon: 0.073
Episode  165 | Reward:    83.0 | Duration:   83 | Avg Loss: 0.88730 | Epsilon: 0.068
Episode  166 | Reward:   110.0 | Duration:  110 | Avg Loss: 0.82745 | Epsilon: 0.062
Episode  167 | Reward:    97.0 | Duration:   97 | Avg Loss: 0.73366 | Epsilon: 0.057
